Developer_ID,Years_Experience,Git_Commits_Per_Month,Pull_Requests,PR_Acceptance_Rate,Bugs_Fixed,Bugs_Introduced,Unit_Test_Coverage,Story_Points_Completed,Tasks_Completed,Deadline_Missed,Attendance_Percentage,Overtime_Hours,Code_Review_Score,Team_Feedback_Score,Training_Completed,Performance_Rating,Performance_Category
DEV_0014,3.972747549495866,47,30,73.93346417812789,25,21,84.5430945220049,51,74,4,82.60172480261264,2.005459570624124,8.770002846146427,7.378702279686788,7,2.0661820382989466,Poor
DEV_0015,3.5455495408994087,33,21,97.46592607422829,59,13,54.00523601200701,177,60,8,95.16526391858045,43.35157480612243,5.671736066225963,1.325443424722859,8,2.023863070145378,Poor
DEV_0016,3.5676631379480734,78,44,61.56745306702585,10,25,77.48264972231611,48,62,0,80.49173832917603,28.93377042861967,5.312636898667579,3.7281552035079573,6,2.0905517869158308,Poor
DEV_0017,5.259391401433528,125,37,76.71784126862315,96,27,81.81253229393276,68,45,4,80.44247103057995,21.930770959479524,1.2307785922579213,3.368013129197586,10,3.5687197799213237,Good
DEV_0018,8.346590042851329,107,13,98.7032220608099,85,22,72.76013073343144,192,35,8,86.47220438299082,36.262883020756824,4.071230448635407,4.241227667243672,0,3.222041638281911,Average
DEV_0019,7.047230260989621,148,47,81.9188753299235,73,13,65.9366903702587,49,38,0,89.77286380809332,24.333447071235142,4.421760569072713,1.7887847208745469,2,3.7756891839462248,Good
DEV_0020,5.077207962772587,153,43,76.93883769232474,99,23,62.651250278099766,163,30,8,95.40814835615586,43.67116190408303,4.589405028072104,9.432620407279565,7,4.025530861411217,Good
DEV_0021,9.565940526113312,106,33,82.74081134999832,9,1,59.18775465986474,187,20,7,93.6659075321301,45.035093200562926,6.221551323045991,5.9842201664113865,2,2.291587670274936,Poor
DEV_0022,2.9529140491285855,133,46,83.03698301032338,7,12,91.12410293363041,38,49,3,88.91805412753497,21.08604634367277,5.802422920541906,3.749718795922212,7,2.826062482395018,Average
DEV_0023,5.090025079493055,196,30,89.26591021198561,57,25,85.68406742832511,37,20,9,85.47253332563332,13.841389861752578,6.471145835141002,4.5728336536685505,0,3.977856719651659,Good
DEV_0024,6.129065806111684,79,39,65.10758917689863,27,13,93.0764800866582,20,45,4,99.94249000315422,29.61751642966811,7.883949353879155,5.024822864543521,4,2.305637272057435,Poor
DEV_0025,7.384979779038503,102,29,70.00065796864419,57,26,46.83634729170496,97,68,4,88.52362604471946,45.61816728083455,8.316871648444842,6.405349000245556,3,2.902053980484377,Average
DEV_0026,11.99246345950219,12,28,83.22176049375639,41,23,80.19771113620044,134,48,5,89.02774048659352,10.533109450283328,7.46310768603845,5.6411148492684795,4,1.7114326503791033,Poor
DEV_0027,3.7954329502170365,157,17,94.68466428838889,78,18,91.60872512515708,194,63,6,83.27247642383338,31.148329178174137,9.599713263594412,9.274527758929755,7,4.273073776757799,Good
DEV_0028,8.199282137790561,196,11,82.47466768575094,78,6,49.96781863911131,132,64,7,95.89619097499859,31.578011004626028,1.1640932440872547,5.472671346152472,9,4.358118313891993,Good
DEV_0029,9.293803964068594,173,40,69.5438743916136,87,2,43.65729470517276,133,33,7,93.87364451562978,36.65565112076405,2.7620018711519148,9.929422133409814,3,4.1990765200234925,Good
DEV_0030,1.6503057780799681,156,49,87.19379119600984,21,14,80.76163571095324,185,31,1,84.4153922557752,6.57838425636299,1.068065874803279,8.662824619705862,10,3.1131036904240257,Average
DEV_0031,9.505627926620138,99,24,89.59635041789498,89,22,71.59602122489515,198,78,8,81.64762091231685,35.79124823410443,6.827272427391427,2.8765946292160223,3,3.4120115919666776,Average
DEV_0032,3.3873377316220816,156,5,69.52944609615918,82,13,86.30058272170496,82,65,6,93.60998604149427,45.45162603328205,9.082274940549881,9.375356931795245,2,4.229677061885256,Good
DEV_0033,1.9107223017939132,157,12,75.10915544705179,77,10,47.687480714445925,151,42,3,93.09022428562271,8.984155443512098,3.1913406691866935,2.0472975809692846,6,3.8977487252740026,Good
DEV_0034,14.284397521546666,105,20,81.37309894122254,5,14,83.73970215229396,148,45,3,85.46519053996418,11.877166246193882,9.34331090316676,8.357047376420724,2,2.7011731027873296,Average
DEV_0035,14.518848463043831,61,18,79.8624476273231,55,27,51.08950260262595,27,29,7,99.0172712450082,48.56975470208198,1.5424065126060476,4.4256096412892205,11,1.9957724372598822,Poor
DEV_0036,12.317562873630456,170,16,75.58472344876813,49,12,49.00107685761375,176,92,3,83.021157835618,9.048847635474488,9.409924241249628,8.901768884005627,2,4.196919220714909,Good
DEV_0037,5.26459276842719,177,27,71.90540698037243,81,17,49.03461888620461,74,90,5,88.64669602085203,42.71925466847895,4.16460418515671,8.812510210967053,10,4.354426805318415,Good
DEV_0038,2.367409596089374,137,19,63.99939548647453,8,25,84.80160961272603,122,71,4,98.87231840335198,24.613892822401738,1.9127874560429485,8.253328601058591,9,2.7768541759284604,Average
DEV_0039,10.579262371170197,48,32,62.13941186989476,66,5,76.585847138291,150,82,2,88.39454633852245,12.361553720158852,5.372845832676931,8.110273926763552,4,3.0584868314688554,Average
DEV_0040,7.162134912354418,91,38,98.34165987532793,69,2,68.76859836230156,51,35,9,92.77051895328171,43.53749506362557,3.3109891094845714,3.742112251882367,4,2.860167756429824,Average
DEV_0041,2.7085352878269036,113,6,93.88572576382359,36,18,59.73567662679264,29,75,1,87.95188795925588,22.265262750133274,3.5638561176573056,1.7282735474612696,5,2.8638890304724614,Average
DEV_0042,7.932476741557783,138,36,74.19620761850882,38,14,88.24602974472096,129,82,8,85.4843040469734,25.74086769648451,3.765609684336579,4.626821608886453,7,3.2520616073447264,Average
DEV_0043,1.4814392956130575,20,27,98.27203540505826,96,24,61.58448090824494,181,82,9,99.67955295919657,17.961668469988286,8.22723308049397,2.561720634878578,9,2.426682647160029,Poor
DEV_0044,13.73048562910295,194,26,87.07079617697212,99,22,84.91296917093675,143,49,8,88.18668012630086,29.64754257174637,5.85245149007729,7.254559800122156,5,4.609320256188589,Excellent
DEV_0045,4.622919742400237,187,29,79.3008379857057,76,4,64.15241997136201,106,26,0,97.88198407358269,8.176193629251138,3.8017692924040327,4.11489753884007,11,4.433827112068794,Good
DEV_0046,10.275311980955747,160,26,79.72102631087219,43,27,60.73194361836992,74,10,9,84.59909211782173,19.554076832588034,6.493004049798265,9.780491807739233,0,3.120746260346246,Average
DEV_0047,5.363955065251753,168,26,63.331376447810385,30,9,65.44738821182835,51,98,2,84.26209408050167,48.470616116764376,7.445356068008742,6.768748696107988,7,3.9308389164823376,Good
DEV_0048,8.280952296489351,51,46,63.668165890339246,38,6,56.575783079027815,197,70,7,80.62268165769022,12.906671635056377,3.453616006601804,8.40232507270925,7,2.072916624107779,Poor
DEV_0049,8.653943910805914,108,10,84.09763703604476,58,24,81.11851590969381,154,52,5,93.0333365075177,32.83683322706461,4.7219419137281635,2.192722054676636,8,2.7484921590386935,Average
DEV_0050,3.5879623773573783,16,19,82.14812209383203,7,16,67.64962145508636,112,51,4,87.37052687447522,16.259503211234744,2.096974840032528,8.758130340453603,8,1.2194701038569364,Poor
DEV_0051,14.57418478870382,153,47,68.50911580096916,54,6,52.77169823307495,27,34,4,97.28716499679274,38.67365628433003,2.630344145812123,9.30481471462055,1,3.7188548139633486,Good
DEV_0052,11.851859527055604,99,41,97.84778171526762,16,21,89.47660153010126,84,48,5,89.46419813383115,6.543683035917491,7.130060685684845,5.3835572693704234,1,2.49884900458557,Poor
DEV_0053,14.152985181898648,121,37,91.2518420188481,69,25,61.11401717552663,76,44,6,99.36386855829443,48.491052253927236,2.6329451292606425,6.456276439758797,2,3.208846549946062,Average
DEV_0054,13.527582905987083,69,12,64.53858408069792,58,29,69.89540736126938,86,12,0,83.71051031406242,22.68947706918196,5.726470453003541,7.883288208126959,0,2.3346887174065407,Poor
DEV_0055,9.370599703355191,122,48,97.2371642274917,9,11,89.85596610305008,91,53,8,97.37246335911222,11.802523167323198,7.381416355501894,2.573547645343713,3,2.7860413290359825,Average
DEV_0056,13.906239290323636,11,48,98.9699283413764,98,24,74.33308977526957,73,60,2,95.53193705583483,3.6748373665006326,1.9618923078526946,5.523094688170982,3,2.5393756356772372,Average
DEV_0057,2.2388950287268727,138,9,99.83724968121317,98,16,46.42939223896003,86,21,3,95.41843689288103,8.487895254377037,6.105809976660132,4.587967249950818,8,3.74681293443667,Good
DEV_0058,3.7437600738680326,57,43,62.234846187094,61,12,91.69076679874112,70,28,9,96.89566456233776,25.988697427800883,3.309065053312274,2.317365929460242,8,2.033539705198635,Poor
DEV_0059,1.633182044747533,149,8,89.48142227164035,21,19,74.52394291892799,116,53,0,95.22047981885999,16.850158821564314,9.666341877138219,4.307809800623783,8,3.334680100986984,Average
DEV_0060,5.554624630685701,46,10,81.83663080659956,51,24,58.41980880613974,111,68,9,92.52440643262831,41.44416829413047,5.351910820479323,1.6135507844694421,9,2.0704495499450566,Poor
DEV_0061,6.441482055652748,169,49,88.23325935514778,27,3,47.6599639964863,27,58,2,82.62489755364776,21.544376183090296,8.253932947976423,1.232307162545383,6,3.675501465175575,Good
DEV_0062,4.798886444834543,18,36,98.7460777589654,83,9,83.67138540986628,181,70,1,80.65052358982504,12.435713629381496,5.952038879406356,2.2164966023934047,1,2.4426296886858196,Poor
DEV_0063,12.60232512812701,108,34,87.52120040700156,89,2,74.10400157606824,54,26,1,98.41695695631374,30.8572493302015,1.3907127956933725,9.668036004302564,9,3.789702572455505,Good
DEV_0064,5.99454657371025,156,39,93.47855496949495,18,8,69.34036005869768,115,83,0,92.33300629041476,35.33886084427229,6.698362380346201,5.945765823055153,4,3.5600699378052525,Good
DEV_0065,4.933083135623331,57,44,94.67474821243366,70,12,89.16409206780267,107,66,7,95.93074581952352,8.352095395047494,9.562630079859913,9.69239945037898,3,2.9953864219867,Average
DEV_0066,8.597745164215478,140,20,93.53923055055941,79,17,83.37284661734918,97,64,2,89.630447030251,8.380960814415882,6.414506381316981,4.892480904971188,11,4.174364107742189,Good
DEV_0067,2.972939149646677,157,17,77.04365900187764,55,14,48.34211838530132,51,56,2,82.34616377924789,1.8335713466771486,8.372699734841111,3.806345197767336,10,3.837045384196223,Good
DEV_0068,12.230757730556554,161,46,68.90305670284123,42,3,57.14471372875515,139,21,5,82.50371584405102,36.82010075328203,8.957858170135669,5.555276765562197,7,3.649710233971401,Good
DEV_0069,2.0437090115167917,63,34,75.86606407817007,68,14,53.66690268979562,65,71,7,93.71130574457942,33.190226381090255,3.0527179475403923,4.955605197696191,1,2.4178840503952164,Poor
DEV_0070,14.816417112407242,129,23,95.67587635107107,42,21,80.91704609149724,163,89,8,88.60611789798925,23.731543787490693,2.90840355917404,1.9509821583556952,5,3.069077150117484,Average
DEV_0071,11.811426770153204,170,21,65.86419286768103,54,1,41.844283910467865,184,97,8,84.01049453400674,42.20852244845986,6.498828899658926,6.767436832211856,4,3.9549348164324356,Good
DEV_0072,3.7820195414784137,161,23,80.53304674769572,86,14,71.34393266792242,161,92,3,89.83189093482873,40.28350764750266,4.699256228260342,2.9443436425863965,11,4.05842976129817,Good
DEV_0073,1.0773096397304336,125,32,69.32912289698112,34,7,81.93522771573798,74,17,4,81.28417874150269,29.267718219837608,8.558751725800484,6.576291594080466,1,3.0135840554733955,Average
DEV_0074,12.416459998367678,84,30,83.25221668907129,83,7,88.22211002189621,195,30,1,91.63942803828797,43.41356402566293,9.1002081105821,6.85180983158338,10,3.4692119907345194,Average
DEV_0075,10.89600281386664,122,41,94.52554087956015,95,16,58.81449617937491,26,90,8,85.37986808870195,10.292060501838412,4.180792413724463,2.368223678157833,9,3.830923889335661,Good
DEV_0076,11.206100352573822,173,30,95.21439874553667,55,11,85.1691517569607,93,96,7,95.95118201274376,5.595980969886394,3.1318350307703384,1.5521466439960134,0,4.218706224847404,Good
DEV_0077,11.79778485360324,175,27,69.46740774728315,67,18,46.084745532536395,26,89,2,86.20723917847147,13.487480575849482,8.024729637194756,8.026854274615959,7,4.3938882865269875,Good
DEV_0078,2.036625124277265,113,13,96.30774825394185,56,9,86.5548760453985,180,79,8,89.10440298163603,2.854342804465743,3.4732543199332246,5.138203813923882,1,3.227981993914123,Average
DEV_0079,6.018520199619816,93,16,83.67554955285138,42,8,47.01187642825903,170,81,2,80.23241079816201,26.5584764000516,8.403528866623105,1.523474159549282,6,2.8394775320487238,Average
DEV_0080,2.622166833351816,121,5,74.00872986801254,92,4,61.850800980820196,104,34,8,81.44893775589118,46.830284614748074,4.813644282838865,9.953796854527905,8,3.564954798627707,Good
DEV_0081,13.08344796225831,108,5,88.327247823328,83,5,83.85124511787545,166,91,1,87.8498711281337,1.9671770334254823,7.0079490936232345,1.5200250489672997,8,4.000627946328265,Good
DEV_0082,9.72617377558581,162,38,79.26667951856462,34,19,48.24545850418256,131,98,9,89.59877669434248,6.10549570050134,1.8598178245120136,7.255317059726979,7,3.411080449610519,Average
DEV_0083,5.632572347937089,102,36,75.11950360489018,55,25,52.60882673779528,144,21,8,92.00041096238607,22.609951414171764,6.614733922089157,9.853110327370722,10,2.6076600373812036,Average
DEV_0084,1.8898169040043309,155,29,88.20337457186639,85,1,79.72389126161865,166,24,7,85.83325157418606,46.69375087639524,5.065909108635062,3.1526209379433308,11,3.9053917007972805,Good
DEV_0085,5.353752504019271,137,44,69.94896617721152,9,26,79.6020095100341,55,68,8,93.89963772253085,15.807805248837525,6.279476168579267,2.2802443181847654,9,2.6736974221891465,Average
DEV_0086,5.552566508374459,119,49,73.21010116076394,33,23,75.26311980869136,48,35,4,97.2024479437841,25.361740434419623,2.5121278697037708,2.09246445480186,8,2.520960947210958,Average
DEV_0087,11.214486496732897,91,5,77.37807377953085,8,26,78.1671644456905,101,35,1,95.59701977786699,2.078642952519605,7.631863704497639,3.72947632810836,1,2.2171247340536766,Poor
DEV_0088,9.925804598972984,63,20,70.14728695492555,14,12,69.84984438411779,21,56,7,80.79237650696714,7.417160048104443,8.765173697889058,1.9094122990958202,5,1.8961146746924662,Poor
DEV_0089,13.420978396068572,172,43,76.20808347125669,60,5,53.848948239882404,148,41,5,89.61013894515658,49.33150614794234,2.9506582008169806,7.229452075247187,3,4.077760512570274,Good
DEV_0090,7.61100895226729,198,9,82.85892100820043,21,4,59.013279642715574,66,19,7,82.0986035683635,48.25593482180228,1.8614309996814555,1.5606261831705641,3,3.3941465011855088,Average
DEV_0091,2.674319443136224,178,26,89.63895443642673,78,24,49.98787442407841,167,25,4,84.84090031725054,0.24699904672048079,1.2127472744170276,5.584799153348108,4,3.7676765000931334,Good
DEV_0092,10.98542702112193,170,33,90.68779412434287,21,0,89.96478087334955,30,80,9,99.73325186534294,47.590589271161946,6.777743503989394,9.970271684676792,11,3.8685639865571004,Good
DEV_0093,11.650990680636564,77,7,92.91161407506772,88,20,72.08654871213662,149,26,1,82.84991085803027,31.95599689077502,6.463846324799027,8.325732425554168,2,3.288067190634756,Average
DEV_0094,8.857880765972947,42,16,89.76846627773192,92,21,62.04682792200019,138,32,5,89.97776306902712,43.39591472600111,5.92027671442663,6.536974944079098,0,2.7311374988171195,Average
DEV_0095,11.793540519363853,151,30,87.24157708387636,73,20,65.4103192004273,159,35,4,92.36311468636238,22.736992781692955,3.087523865043779,3.756282587079505,7,3.569621895250234,Good
DEV_0096,7.91313834910147,30,20,69.5002588516988,38,5,92.10058367864984,39,94,4,94.04929941088207,25.77980142896251,4.518153963149632,6.6150625266247465,4,2.14334908482609,Poor
DEV_0097,8.318259611347916,57,41,76.008915714881,10,5,48.43432717138441,24,95,0,91.19297366973828,24.44232901284601,6.350287016675558,5.743373175204865,2,2.2478845797263953,Poor
DEV_0098,6.985574257019695,157,26,79.1085956352091,57,22,72.24264076092385,56,16,1,80.19541694838367,33.34321287730522,5.470901729732525,4.834750455013343,9,3.5435007178220164,Good
DEV_0099,1.3558677744173326,137,33,63.31565286773417,70,15,67.82387733864563,185,23,7,86.52922616487984,6.982562737815645,9.890069681933985,2.1763933906617954,6,3.347583012983712,Average
DEV_0100,2.5104799779062623,145,18,81.13480485188836,81,3,73.62998294890562,156,88,2,90.35423286769424,1.4986794936338976,2.227957773010598,8.9794379371642,6,4.18166679644907,Good
DEV_0101,1.4400085996142795,144,32,77.45343326426223,47,29,40.996060110146225,72,16,9,81.75732998289666,15.396497079559545,7.256300986428344,5.048061839391902,0,2.6627637974498763,Average
DEV_0102,9.909745757692926,154,9,92.08436996106937,79,10,87.96681499192833,191,18,2,87.01253862418362,35.23403813683233,4.638868912938629,2.7516026063868857,11,3.982290291426195,Good
DEV_0103,5.400983735068573,137,34,99.11602675017083,27,29,91.26650553659869,118,57,7,80.66406217582733,10.092672606147419,4.853796534330533,4.309834157895606,8,2.87459155152589,Average
DEV_0104,8.119989676305838,42,9,82.24020154570339,59,29,71.0823250974065,105,81,7,81.57156994310041,33.67162166624587,7.458379890923586,4.727167772760343,1,2.2672188909207485,Poor
DEV_0105,13.705930634965302,185,16,72.90745553110335,84,29,78.31579531322907,127,68,1,87.93846552403193,48.49560230536352,7.231925361919327,8.447841060101869,4,4.717237538581891,Excellent
DEV_0106,4.490091208084249,196,20,61.73603133192691,99,23,90.73746596475127,43,96,7,82.65431508086121,4.69503578947092,9.921303943319694,7.6025294250526185,4,5.0,Excellent
DEV_0107,6.745360922498817,124,30,96.98573320894384,79,22,78.89812488723692,100,91,0,91.35081696523116,33.630105911256315,2.155548605087127,7.923744042772058,7,3.911738437506292,Good
DEV_0108,11.577715939602681,128,30,96.76462861114638,20,8,48.38964736028437,177,48,5,93.78929938274531,22.187510965228558,1.936986844457497,1.099281379857825,7,2.947705855250861,Average
DEV_0109,4.2031743168827145,31,25,70.11960671956965,12,22,71.69585980917472,139,27,7,96.01173398218165,43.40711271887527,7.51904935415867,4.745385983617854,6,1.115290424512404,Poor
DEV_0110,2.077718737603102,167,43,87.81644492426591,8,2,73.36932755105707,78,68,2,84.0030048848962,8.857489472369295,6.205482253057681,5.332097364717913,6,3.5659667532473964,Good
DEV_0111,5.056520340792752,47,40,63.01738188359077,8,18,63.32718692163123,147,26,7,83.3496516451814,34.63129761130823,3.4674459990382527,1.1727304914075103,11,1.0,Poor
DEV_0112,3.257098021556062,118,37,66.64861727637012,60,7,80.50443295935975,133,23,0,82.09135680668801,41.90576448240551,1.7147743209008794,3.3383188787053077,10,3.0281809804598243,Average
DEV_0113,14.015767132796023,60,34,68.67236426345966,29,4,91.39018581229581,134,40,8,92.72860499087274,47.230710973701164,1.770924246367875,7.842608408099215,5,2.0729965166645883,Poor
DEV_0114,12.313685313901837,191,41,71.7797578735772,71,3,90.9062682098727,33,33,8,94.12951452973802,34.16240141448229,9.047717871977065,2.2339873515609914,5,4.526458246044436,Excellent
DEV_0115,9.867652591145928,17,27,99.83325500117482,71,23,64.79616542722727,28,69,4,80.63172289651284,24.858738200421364,2.726805922468686,5.817791183073325,10,2.114052536993347,Poor
DEV_0116,13.200448262628047,36,14,87.87700223455259,31,5,46.228092521241535,59,54,9,98.7242449248738,30.892362010060694,3.9103440590396867,2.9368168481551375,8,1.6594569418504168,Poor
DEV_0117,12.251409076587603,36,9,75.3680732551688,97,1,94.1662659429284,44,12,3,81.03942567302944,43.44524922393591,3.039907620042892,1.1090869717950396,5,2.632238550590106,Average
DEV_0118,3.611980824404502,30,40,89.48402823372078,36,19,86.13939475452638,122,46,5,90.8259267060214,28.530487331941483,4.194966752487436,3.1708131183958734,11,1.662044315455881,Poor
DEV_0119,13.495825978859688,39,38,96.61017366676425,54,27,46.856447466179674,41,52,6,94.18121038901833,1.519352984841843,1.6248145847148403,9.782863794190485,1,1.9878687860012922,Poor
DEV_0120,8.55079138681911,106,35,98.34809629631386,65,10,90.64630354395547,23,49,4,97.41938247492172,46.54743477534889,5.671538118174434,8.213834006946907,1,3.346626905324193,Average
DEV_0121,12.304162172296875,37,14,62.31455591030829,55,3,87.84429991341705,173,99,9,94.28173864264855,34.476337551578055,1.6085130723299341,9.636189798889301,4,2.5651364414143067,Average
DEV_0122,13.545278198928905,120,23,75.7808719443252,23,14,68.53609314193397,48,64,8,96.03456166139584,33.82566928886233,8.203208570401255,5.390686395337262,3,2.9067923796652826,Average
DEV_0123,5.452048649606095,70,36,64.27024263743537,25,5,72.52014896597112,128,96,2,86.78900385085612,10.783757619885858,3.103408737193897,1.9876257880975317,10,2.566807831482688,Average
DEV_0124,2.5407269433874746,57,5,73.42640259187853,9,21,61.94514871285716,117,48,6,96.29650227493025,32.94427351163286,5.860107231440596,5.931635400763237,1,1.670491328666874,Poor
DEV_0125,4.191092275587184,156,9,66.78719615582263,86,16,43.01189013521172,56,24,9,81.6022969276935,19.693220282707923,8.920711788053124,5.089396011039648,2,3.702836439937179,Good
DEV_0126,6.979509040767589,13,49,85.87393446674895,96,29,58.43584829052455,94,13,9,97.89633312121055,32.561648852074605,6.8578963214247475,8.599213744656543,6,1.9134752006116469,Poor
DEV_0127,12.452206722914903,44,8,75.53073535959489,46,23,84.15693967289063,89,95,4,90.95184752307472,5.3296515153995365,5.796620078962018,1.8827432270582012,7,2.1744984247691064,Poor
DEV_0128,13.050228165588809,58,20,69.17578982819799,65,5,40.25476126525316,165,34,6,96.34595539924987,32.8922652301518,3.9190037780383804,5.394170233196004,11,2.39012846472443,Poor
DEV_0129,1.0973298274366698,26,28,70.63751699856957,26,18,58.342454443012926,147,22,1,89.046365690366,49.97068628853333,3.9970172175237813,2.3504379822458583,5,1.1833140394953399,Poor
DEV_0130,8.15046223608592,181,20,74.41380380821073,25,29,61.89927814750188,104,91,3,92.8715539039305,2.4106019430278014,7.025382596783711,3.9220833420105397,10,3.736908688976601,Good
DEV_0131,6.843754044082906,167,6,70.3979945141705,74,24,69.55675816158576,61,42,1,90.52805321872226,48.858709211065865,9.947254250990508,7.636213696490197,4,4.313104143025578,Good
DEV_0132,4.109509346590223,55,32,78.12963387315324,5,1,90.59205890270184,119,25,6,94.63179043510664,20.345398036143532,6.9565527086444074,5.284163164318898,0,1.740954400296186,Poor
DEV_0133,2.678115142671559,126,36,61.29263804438602,9,14,59.04902969012787,60,51,1,81.63259964061179,43.537672516862955,6.020050756330225,4.382994566311924,7,2.712510596443398,Average
DEV_0134,5.726612399650792,15,31,71.19054028675782,16,10,59.08242610429252,185,75,0,81.20704167981128,39.11927420291367,7.575854592153215,4.550286507130318,2,1.5384287832942283,Poor
DEV_0135,14.200735854775267,108,24,76.44826883488744,94,7,80.56256864603617,53,64,8,84.94206468020293,28.35081304933339,5.186850510553463,5.13502091565388,5,3.6476539495891815,Good
DEV_0136,5.524841048290574,133,28,84.11127528093195,50,25,64.87198674893939,36,51,0,83.19089360226377,36.92246046256633,1.541281083407067,8.065148894533511,2,3.2069085942491484,Average
DEV_0137,8.263068704407125,46,16,70.83830570060519,38,18,52.35326526169901,184,43,7,97.43567133184403,43.9257780650674,6.0606713429011885,9.02876220046211,6,1.7247063229089568,Poor
DEV_0138,10.84226542453249,33,39,65.32740500895,53,12,64.88417338729813,172,39,1,84.38427974716089,20.20701608255165,9.618627560548422,9.598012178535354,6,2.316222621532634,Poor
DEV_0139,6.090814433310116,102,37,63.04801518396653,82,11,47.747136120888996,141,22,7,99.51730511638263,16.351658078161936,2.577726481218937,8.082130476297657,11,3.0140518563375682,Average
DEV_0140,14.604949158093449,55,37,97.62127308541534,94,4,49.70128425784228,95,22,2,86.73791583542214,33.379669278179236,7.210044017385991,3.8386620617321148,8,3.0963809077713464,Average
DEV_0141,14.474262129189558,190,47,76.66556230953917,49,5,67.41022750067138,106,27,5,83.64235831377398,40.39229709706293,2.8084031979315083,7.193212354778879,4,4.104947622802529,Good
DEV_0142,4.524952141555098,104,41,83.24650484723306,31,25,63.04089972275014,136,41,2,95.79397014284959,38.11425673883079,5.822449160257731,4.938428116498527,7,2.644423012018839,Average
DEV_0143,7.961479082493396,108,16,96.76706207342238,77,21,90.3165245587455,125,48,6,93.17415551001753,39.89068244293173,1.8700880468204766,3.2920355984144605,9,3.112424625908871,Average
DEV_0144,5.2122963374347755,197,7,63.30993680141225,30,3,59.93166445141482,105,55,9,89.96391432906277,21.77916574064665,5.053338426323666,8.567844214833304,9,3.881258934690333,Good
DEV_0145,4.987766921284546,125,5,95.06645943703171,51,18,71.93235926529239,46,38,8,91.10727101875263,40.89171080875108,7.805469960057215,1.345837140660925,7,3.124682460286885,Average
DEV_0146,1.5164172629634591,169,37,82.0635149017628,90,19,74.77453583557417,76,71,1,94.38403556544527,6.010452768530422,4.128143718150839,9.115857929218812,0,4.541184052193467,Excellent
DEV_0147,9.533900675718556,170,44,66.59337044548003,60,0,40.72019511235835,50,71,4,84.56909482662597,27.224454898042477,6.984205520384962,5.153297181622607,11,4.272077054899965,Good
DEV_0148,8.03750632520406,76,14,76.45020466341477,98,19,76.49455546091909,153,66,5,99.92667832113483,0.2879330249060785,8.159049647107562,6.7348132912745236,4,3.5331403563348553,Good
DEV_0149,1.720702517499851,137,47,91.10409134940902,67,16,49.79197817783633,187,25,3,99.49586324293566,16.229291495013516,9.344600375315075,6.934185299852045,2,3.5358198740423252,Good
